SN,Date,VCM_M1_FPC_UpCoil_Attach_MC_ID,VCM_Glue_lot_ID_1,VCM_M1_FPC_UpCoil_Attach_Staging_time,VCM_M1_FPC_UpCoil_Attach_End_Time,VCM_Feature_1,VCM_Feature_2,VCM_Feature_3,VCM_Feature_4,VCM_Feature_5,VCM_Feature_6,VCM_Feature_7,VCM_Feature_8,VCM_Feature_9,VCM_Feature_10,VCM_Feature_11,VCM_Feature_12,VCM_Feature_13,VCM_Feature_14,VCM_Feature_15,VCM_Feature_16,VCM_Feature_17,VCM_Feature_18,VCM_Feature_19,VCM_Feature_20,VCM_Feature_21,VCM_Feature_22,VCM_Feature_23,VCM_Feature_24,VCM_Feature_25,VCM_Feature_26,VCM_Feature_27,VCM_Feature_28,VCM_Feature_29,VCM_Feature_30,VCM_Feature_31,VCM_Feature_32,VCM_Feature_33,VCM_Feature_34,VCM_Feature_35,VCM_Feature_36,VCM_Feature_37,VCM_Feature_38,VCM_Feature_39,VCM_Feature_40,VCM_Feature_41,VCM_Feature_42,VCM_Feature_43,VCM_Feature_44,Results,Failed_Station,Failure_Mode,VCM_M1_Constant_Feature
SN000775,2026-05-11 13:45:36,MC_003,LOT_2001,20,2026-05-11 13:53:36,Normal,Medium,VAL_1,VAL_2,VAL_2,VAL_2,VAL_2,VAL_2,VAL_3,VAL_2,VAL_1,VAL_2,VAL_1,VAL_3,VAL_1,VAL_3,VAL_2,VAL_2,VAL_1,VAL_3,VAL_3,VAL_3,VAL_1,VAL_1,VAL_3,VAL_2,VAL_2,VAL_2,VAL_2,VAL_3,VAL_2,VAL_2,VAL_1,VAL_2,VAL_1,VAL_3,VAL_2,VAL_3,VAL_2,VAL_1,VAL_1,VAL_1,VAL_3,VAL_1,PASS,,,Normal
SN000776,2026-05-11 13:47:54,MC_003,LOT_2004,30,2026-05-11 13:52:54,Normal,Medium,VAL_2,VAL_2,VAL_3,VAL_1,VAL_2,VAL_3,VAL_1,VAL_3,VAL_3,VAL_1,VAL_1,VAL_1,VAL_1,VAL_1,VAL_3,VAL_1,VAL_2,VAL_2,VAL_3,VAL_3,VAL_3,VAL_2,VAL_1,VAL_2,VAL_3,VAL_2,VAL_3,VAL_2,VAL_1,VAL_2,VAL_1,VAL_1,VAL_1,VAL_1,VAL_3,VAL_2,VAL_1,VAL_3,VAL_2,VAL_3,VAL_1,VAL_1,PASS,,,Standby
SN000777,2026-05-11 13:50:12,MC_005,LOT_2004,20,2026-05-11 14:01:12,Normal,Medium,VAL_3,VAL_3,VAL_3,VAL_2,VAL_3,VAL_3,VAL_2,VAL_2,VAL_1,VAL_2,VAL_1,VAL_1,VAL_2,VAL_1,VAL_3,VAL_2,VAL_1,VAL_1,VAL_1,VAL_1,VAL_3,VAL_1,VAL_2,VAL_2,VAL_1,VAL_3,VAL_3,VAL_3,VAL_3,VAL_1,VAL_1,VAL_3,VAL_3,VAL_1,VAL_1,VAL_1,VAL_2,VAL_2,VAL_2,VAL_3,VAL_3,VAL_3,PASS,,,Locked
SN000778,2026-05-11 13:52:30,MC_004,LOT_2003,20,2026-05-11 14:01:30,Normal,Medium,VAL_2,VAL_3,VAL_1,VAL_1,VAL_2,VAL_3,VAL_3,VAL_2,VAL_1,VAL_2,VAL_3,VAL_3,VAL_1,VAL_3,VAL_2,VAL_2,VAL_2,VAL_3,VAL_1,VAL_2,VAL_1,VAL_3,VAL_1,VAL_1,VAL_1,VAL_1,VAL_2,VAL_3,VAL_1,VAL_2,VAL_2,VAL_1,VAL_3,VAL_2,VAL_2,VAL_2,VAL_1,VAL_2,VAL_2,VAL_1,VAL_2,VAL_1,PASS,,,Locked
SN000779,2026-05-11 13:54:48,MC_005,LOT_2001,20,2026-05-11 14:02:48,Normal,Medium,VAL_1,VAL_2,VAL_2,VAL_2,VAL_1,VAL_1,VAL_2,VAL_2,VAL_3,VAL_2,VAL_2,VAL_2,VAL_3,VAL_2,VAL_2,VAL_2,VAL_3,VAL_2,VAL_3,VAL_2,VAL_3,VAL_2,VAL_1,VAL_1,VAL_2,VAL_3,VAL_2,VAL_3,VAL_2,VAL_1,VAL_1,VAL_2,VAL_2,VAL_3,VAL_1,VAL_2,VAL_1,VAL_2,VAL_3,VAL_1,VAL_3,VAL_2,PASS,,,Standby
SN000780,2026-05-11 13:57:07,MC_003,LOT_2002,30,2026-05-11 14:03:07,Normal,Medium,VAL_2,VAL_1,VAL_1,VAL_3,VAL_1,VAL_2,VAL_1,VAL_2,VAL_2,VAL_3,VAL_2,VAL_1,VAL_3,VAL_1,VAL_3,VAL_2,VAL_3,VAL_1,VAL_3,VAL_2,VAL_3,VAL_1,VAL_2,VAL_3,VAL_2,VAL_1,VAL_1,VAL_1,VAL_3,VAL_1,VAL_2,VAL_2,VAL_3,VAL_2,VAL_1,VAL_1,VAL_1,VAL_1,VAL_2,VAL_2,VAL_2,VAL_3,PASS,,,Standby
SN000781,2026-05-11 13:59:25,MC_003,LOT_2003,10,2026-05-11 14:04:25,Normal,Medium,VAL_3,VAL_3,VAL_1,VAL_2,VAL_2,VAL_2,VAL_3,VAL_3,VAL_2,VAL_1,VAL_2,VAL_1,VAL_3,VAL_2,VAL_3,VAL_3,VAL_1,VAL_2,VAL_1,VAL_1,VAL_1,VAL_3,VAL_3,VAL_3,VAL_1,VAL_1,VAL_2,VAL_2,VAL_3,VAL_3,VAL_1,VAL_1,VAL_1,VAL_2,VAL_3,VAL_3,VAL_1,VAL_3,VAL_1,VAL_3,VAL_3,VAL_3,PASS,,,Standby
SN000782,2026-05-11 14:01:43,MC_001,LOT_2002,10,2026-05-11 14:11:43,High,Fast,VAL_2,VAL_2,VAL_3,VAL_2,VAL_1,VAL_2,VAL_1,VAL_2,VAL_3,VAL_1,VAL_3,VAL_1,VAL_3,VAL_2,VAL_1,VAL_1,VAL_1,VAL_1,VAL_1,VAL_1,VAL_1,VAL_1,VAL_3,VAL_3,VAL_3,VAL_2,VAL_3,VAL_2,VAL_1,VAL_2,VAL_2,VAL_3,VAL_1,VAL_1,VAL_1,VAL_2,VAL_2,VAL_3,VAL_3,VAL_2,VAL_1,VAL_3,FAIL,METROLOGY,TILT_NG,Locked
SN000783,2026-05-11 14:04:01,MC_002,LOT_2004,10,2026-05-11 14:17:01,Normal,Medium,VAL_3,VAL_2,VAL_2,VAL_3,VAL_3,VAL_3,VAL_1,VAL_3,VAL_1,VAL_2,VAL_1,VAL_2,VAL_3,VAL_3,VAL_2,VAL_3,VAL_2,VAL_2,VAL_3,VAL_1,VAL_1,VAL_3,VAL_2,VAL_2,VAL_2,VAL_3,VAL_3,VAL_1,VAL_1,VAL_1,VAL_1,VAL_2,VAL_3,VAL_2,VAL_1,VAL_3,VAL_1,VAL_2,VAL_1,VAL_3,VAL_1,VAL_1,PASS,,,Locked
SN000784,2026-05-11 14:06:20,MC_005,LOT_2002,20,2026-05-11 14:20:20,Normal,Fast,VAL_2,VAL_2,VAL_1,VAL_2,VAL_2,VAL_3,VAL_3,VAL_3,VAL_3,VAL_3,VAL_1,VAL_3,VAL_1,VAL_1,VAL_3,VAL_3,VAL_3,VAL_3,VAL_3,VAL_3,VAL_3,VAL_1,VAL_2,VAL_2,VAL_3,VAL_1,VAL_1,VAL_2,VAL_1,VAL_2,VAL_1,VAL_1,VAL_2,VAL_2,VAL_2,VAL_3,VAL_2,VAL_1,VAL_3,VAL_1,VAL_2,VAL_1,PASS,,,Normal
SN000785,2026-05-11 14:08:38,MC_001,LOT_2003,20,2026-05-11 14:13:38,Normal,Slow,VAL_1,VAL_2,VAL_3,VAL_3,VAL_1,VAL_2,VAL_2,VAL_2,VAL_2,VAL_2,VAL_3,VAL_1,VAL_1,VAL_1,VAL_3,VAL_3,VAL_1,VAL_1,VAL_2,VAL_3,VAL_2,VAL_2,VAL_2,VAL_2,VAL_1,VAL_2,VAL_2,VAL_3,VAL_2,VAL_1,VAL_1,VAL_3,VAL_1,VAL_1,VAL_2,VAL_3,VAL_1,VAL_2,VAL_3,VAL_3,VAL_3,VAL_3,PASS,,,Normal
SN000786,2026-05-11 14:10:56,MC_005,LOT_2001,20,2026-05-11 14:21:56,Normal,Medium,VAL_2,VAL_3,VAL_1,VAL_2,VAL_1,VAL_1,VAL_2,VAL_3,VAL_2,VAL_2,VAL_3,VAL_2,VAL_1,VAL_1,VAL_3,VAL_3,VAL_2,VAL_2,VAL_2,VAL_2,VAL_3,VAL_3,VAL_3,VAL_3,VAL_1,VAL_3,VAL_1,VAL_1,VAL_2,VAL_1,VAL_2,VAL_1,VAL_3,VAL_2,VAL_1,VAL_2,VAL_3,VAL_1,VAL_2,VAL_1,VAL_2,VAL_2,PASS,,,Standby
SN000787,2026-05-11 14:13:14,MC_003,LOT_2002,10,2026-05-11 14:23:14,Normal,Medium,VAL_3,VAL_2,VAL_2,VAL_2,VAL_2,VAL_3,VAL_1,VAL_3,VAL_2,VAL_1,VAL_2,VAL_1,VAL_1,VAL_3,VAL_3,VAL_3,VAL_3,VAL_1,VAL_2,VAL_1,VAL_2,VAL_2,VAL_3,VAL_1,VAL_1,VAL_2,VAL_3,VAL_2,VAL_2,VAL_3,VAL_1,VAL_1,VAL_3,VAL_2,VAL_3,VAL_2,VAL_2,VAL_2,VAL_3,VAL_2,VAL_3,VAL_1,PASS,,,Normal
SN000788,2026-05-11 14:15:33,MC_004,LOT_2004,10,2026-05-11 14:26:33,Normal,Slow,VAL_1,VAL_3,VAL_2,VAL_1,VAL_1,VAL_2,VAL_1,VAL_2,VAL_2,VAL_2,VAL_3,VAL_3,VAL_3,VAL_1,VAL_2,VAL_2,VAL_1,VAL_3,VAL_2,VAL_3,VAL_3,VAL_1,VAL_1,VAL_2,VAL_1,VAL_3,VAL_2,VAL_2,VAL_2,VAL_1,VAL_1,VAL_1,VAL_3,VAL_2,VAL_1,VAL_1,VAL_3,VAL_3,VAL_2,VAL_1,VAL_3,VAL_1,FAIL,FUNCTION_TEST,VA_DRIVER_NG,Locked
SN000789,2026-05-11 14:17:51,MC_001,LOT_2003,20,2026-05-11 14:30:51,Normal,Medium,VAL_3,VAL_3,VAL_1,VAL_2,VAL_2,VAL_2,VAL_2,VAL_3,VAL_1,VAL_1,VAL_3,VAL_2,VAL_1,VAL_2,VAL_1,VAL_3,VAL_3,VAL_2,VAL_3,VAL_3,VAL_2,VAL_1,VAL_1,VAL_3,VAL_1,VAL_1,VAL_2,VAL_1,VAL_1,VAL_1,VAL_1,VAL_1,VAL_3,VAL_2,VAL_1,VAL_1,VAL_2,VAL_3,VAL_2,VAL_2,VAL_1,VAL_3,PASS,,,Standby
SN000790,2026-05-11 14:20:09,MC_001,LOT_2004,30,2026-05-11 14:34:09,Low,Medium,VAL_3,VAL_3,VAL_2,VAL_3,VAL_3,VAL_2,VAL_2,VAL_1,VAL_3,VAL_3,VAL_2,VAL_1,VAL_3,VAL_3,VAL_3,VAL_3,VAL_2,VAL_1,VAL_2,VAL_2,VAL_3,VAL_3,VAL_2,VAL_2,VAL_2,VAL_2,VAL_2,VAL_2,VAL_2,VAL_1,VAL_3,VAL_3,VAL_3,VAL_3,VAL_2,VAL_3,VAL_1,VAL_1,VAL_2,VAL_2,VAL_1,VAL_1,PASS,,,Standby
SN000791,2026-05-11 14:22:27,MC_005,LOT_2005,10,2026-05-11 14:37:27,Low,Slow,VAL_1,VAL_1,VAL_2,VAL_1,VAL_3,VAL_2,VAL_3,VAL_3,VAL_2,VAL_1,VAL_2,VAL_3,VAL_1,VAL_3,VAL_1,VAL_1,VAL_1,VAL_3,VAL_1,VAL_2,VAL_1,VAL_3,VAL_3,VAL_1,VAL_2,VAL_1,VAL_2,VAL_3,VAL_2,VAL_2,VAL_3,VAL_1,VAL_2,VAL_1,VAL_1,VAL_2,VAL_2,VAL_3,VAL_3,VAL_1,VAL_1,VAL_2,PASS,,,Normal
SN000792,2026-05-11 14:24:46,MC_003,LOT_2002,10,2026-05-11 14:39:46,Normal,Slow,VAL_1,VAL_1,VAL_2,VAL_3,VAL_1,VAL_2,VAL_1,VAL_1,VAL_3,VAL_1,VAL_1,VAL_2,VAL_2,VAL_3,VAL_3,VAL_3,VAL_1,VAL_3,VAL_2,VAL_2,VAL_2,VAL_3,VAL_2,VAL_3,VAL_1,VAL_1,VAL_2,VAL_2,VAL_3,VAL_3,VAL_3,VAL_1,VAL_2,VAL_2,VAL_1,VAL_3,VAL_1,VAL_1,VAL_2,VAL_3,VAL_2,VAL_2,PASS,,,Standby
SN000793,2026-05-11 14:27:04,MC_004,LOT_2002,10,2026-05-11 14:37:04,Normal,Medium,VAL_2,VAL_1,VAL_3,VAL_3,VAL_2,VAL_3,VAL_2,VAL_2,VAL_3,VAL_1,VAL_1,VAL_1,VAL_1,VAL_1,VAL_2,VAL_3,VAL_1,VAL_3,VAL_2,VAL_2,VAL_2,VAL_1,VAL_3,VAL_1,VAL_2,VAL_2,VAL_3,VAL_2,VAL_2,VAL_3,VAL_1,VAL_3,VAL_2,VAL_3,VAL_1,VAL_2,VAL_1,VAL_1,VAL_1,VAL_3,VAL_3,VAL_3,PASS,,,Locked
SN000794,2026-05-11 14:29:22,MC_005,LOT_2003,10,2026-05-11 14:40:22,Normal,Medium,VAL_3,VAL_2,VAL_3,VAL_1,VAL_1,VAL_2,VAL_3,VAL_3,VAL_2,VAL_1,VAL_2,VAL_1,VAL_3,VAL_1,VAL_3,VAL_2,VAL_2,VAL_1,VAL_1,VAL_2,VAL_1,VAL_2,VAL_3,VAL_1,VAL_3,VAL_1,VAL_3,VAL_3,VAL_3,VAL_1,VAL_1,VAL_2,VAL_2,VAL_3,VAL_1,VAL_2,VAL_3,VAL_3,VAL_1,VAL_1,VAL_1,VAL_1,PASS,,,Locked
SN000795,2026-05-11 14:31:40,MC_005,LOT_2002,20,2026-05-11 14:37:40,Low,Medium,VAL_3,VAL_1,VAL_3,VAL_3,VAL_3,VAL_1,VAL_1,VAL_3,VAL_2,VAL_3,VAL_1,VAL_3,VAL_1,VAL_2,VAL_3,VAL_1,VAL_1,VAL_3,VAL_3,VAL_1,VAL_2,VAL_3,VAL_2,VAL_1,VAL_2,VAL_3,VAL_3,VAL_1,VAL_3,VAL_3,VAL_1,VAL_3,VAL_3,VAL_1,VAL_1,VAL_2,VAL_3,VAL_1,VAL_3,VAL_2,VAL_2,VAL_2,PASS,,,Standby
SN000796,2026-05-11 14:33:59,MC_005,LOT_2004,10,2026-05-11 14:42:59,Normal,Medium,VAL_2,VAL_1,VAL_3,VAL_3,VAL_1,VAL_3,VAL_1,VAL_1,VAL_1,VAL_3,VAL_3,VAL_2,VAL_3,VAL_1,VAL_2,VAL_3,VAL_2,VAL_2,VAL_3,VAL_2,VAL_2,VAL_1,VAL_2,VAL_3,VAL_1,VAL_1,VAL_1,VAL_1,VAL_2,VAL_3,VAL_3,VAL_1,VAL_3,VAL_3,VAL_1,VAL_1,VAL_3,VAL_2,VAL_2,VAL_1,VAL_3,VAL_2,PASS,,,Locked
SN000797,2026-05-11 14:36:17,MC_005,LOT_2001,20,2026-05-11 14:51:17,Normal,Medium,VAL_1,VAL_1,VAL_3,VAL_3,VAL_1,VAL_3,VAL_2,VAL_1,VAL_3,VAL_2,VAL_3,VAL_1,VAL_2,VAL_2,VAL_3,VAL_2,VAL_3,VAL_1,VAL_3,VAL_1,VAL_2,VAL_2,VAL_2,VAL_2,VAL_3,VAL_1,VAL_3,VAL_2,VAL_2,VAL_2,VAL_1,VAL_3,VAL_3,VAL_3,VAL_1,VAL_2,VAL_1,VAL_2,VAL_3,VAL_3,VAL_3,VAL_3,PASS,,,Locked
SN000798,2026-05-11 14:38:35,MC_001,LOT_2001,20,2026-05-11 14:43:35,Low,Medium,VAL_3,VAL_3,VAL_2,VAL_3,VAL_1,VAL_2,VAL_2,VAL_1,VAL_3,VAL_1,VAL_1,VAL_2,VAL_2,VAL_2,VAL_2,VAL_3,VAL_3,VAL_3,VAL_1,VAL_3,VAL_3,VAL_3,VAL_1,VAL_2,VAL_3,VAL_2,VAL_1,VAL_2,VAL_2,VAL_1,VAL_1,VAL_3,VAL_3,VAL_3,VAL_3,VAL_3,VAL_3,VAL_3,VAL_1,VAL_2,VAL_2,VAL_3,PASS,,,Normal
SN000799,2026-05-11 14:40:53,MC_003,LOT_2002,10,2026-05-11 14:48:53,Normal,Medium,VAL_3,VAL_3,VAL_1,VAL_1,VAL_2,VAL_2,VAL_3,VAL_2,VAL_2,VAL_2,VAL_1,VAL_2,VAL_2,VAL_3,VAL_2,VAL_2,VAL_2,VAL_1,VAL_3,VAL_1,VAL_3,VAL_2,VAL_3,VAL_3,VAL_1,VAL_2,VAL_1,VAL_1,VAL_3,VAL_2,VAL_1,VAL_2,VAL_1,VAL_2,VAL_2,VAL_2,VAL_3,VAL_3,VAL_1,VAL_3,VAL_1,VAL_1,PASS,,,Standby
SN000800,2026-05-11 14:43:12,MC_003,LOT_2004,20,2026-05-11 14:56:12,Normal,Slow,VAL_2,VAL_2,VAL_1,VAL_3,VAL_3,VAL_2,VAL_1,VAL_3,VAL_1,VAL_2,VAL_3,VAL_2,VAL_1,VAL_1,VAL_3,VAL_2,VAL_1,VAL_1,VAL_3,VAL_3,VAL_1,VAL_2,VAL_2,VAL_3,VAL_3,VAL_3,VAL_1,VAL_3,VAL_2,VAL_3,VAL_2,VAL_2,VAL_3,VAL_2,VAL_1,VAL_3,VAL_1,VAL_3,VAL_1,VAL_1,VAL_3,VAL_1,PASS,,,Normal
SN000801,2026-05-11 14:45:30,MC_002,LOT_2002,10,2026-05-11 14:59:30,Normal,Slow,VAL_3,VAL_1,VAL_1,VAL_3,VAL_3,VAL_2,VAL_3,VAL_1,VAL_2,VAL_2,VAL_1,VAL_3,VAL_1,VAL_2,VAL_3,VAL_3,VAL_3,VAL_2,VAL_1,VAL_1,VAL_1,VAL_1,VAL_1,VAL_2,VAL_3,VAL_1,VAL_1,VAL_3,VAL_3,VAL_1,VAL_2,VAL_1,VAL_1,VAL_1,VAL_2,VAL_3,VAL_1,VAL_1,VAL_1,VAL_2,VAL_1,VAL_2,FAIL,METROLOGY,VA_DRIVER_NG,Locked
SN000802,2026-05-11 14:47:48,MC_001,LOT_2002,20,2026-05-11 15:02:48,Normal,Medium,VAL_1,VAL_2,VAL_3,VAL_3,VAL_2,VAL_2,VAL_1,VAL_2,VAL_3,VAL_3,VAL_2,VAL_1,VAL_3,VAL_2,VAL_2,VAL_3,VAL_1,VAL_3,VAL_2,VAL_2,VAL_2,VAL_3,VAL_3,VAL_2,VAL_2,VAL_3,VAL_2,VAL_2,VAL_1,VAL_3,VAL_2,VAL_3,VAL_2,VAL_1,VAL_2,VAL_3,VAL_2,VAL_2,VAL_2,VAL_1,VAL_2,VAL_2,PASS,,,Locked
SN000803,2026-05-11 14:50:06,MC_002,LOT_2004,20,2026-05-11 14:56:06,Normal,Medium,VAL_2,VAL_3,VAL_2,VAL_3,VAL_3,VAL_3,VAL_2,VAL_2,VAL_3,VAL_1,VAL_3,VAL_3,VAL_2,VAL_3,VAL_1,VAL_2,VAL_3,VAL_3,VAL_1,VAL_3,VAL_2,VAL_3,VAL_3,VAL_2,VAL_3,VAL_1,VAL_2,VAL_2,VAL_1,VAL_2,VAL_2,VAL_2,VAL_3,VAL_2,VAL_1,VAL_1,VAL_1,VAL_3,VAL_2,VAL_2,VAL_2,VAL_3,PASS,,,Normal
SN000804,2026-05-11 14:52:24,MC_003,LOT_2002,20,2026-05-11 14:59:24,Normal,Medium,VAL_3,VAL_2,VAL_1,VAL_1,VAL_3,VAL_2,VAL_3,VAL_3,VAL_1,VAL_3,VAL_3,VAL_2,VAL_2,VAL_1,VAL_3,VAL_2,VAL_3,VAL_3,VAL_2,VAL_3,VAL_1,VAL_2,VAL_1,VAL_3,VAL_2,VAL_2,VAL_1,VAL_2,VAL_3,VAL_1,VAL_3,VAL_1,VAL_3,VAL_2,VAL_2,VAL_2,VAL_1,VAL_3,VAL_1,VAL_1,VAL_2,VAL_1,PASS,,,Locked
SN000805,2026-05-11 14:54:43,MC_005,LOT_2002,10,2026-05-11 15:07:43,Normal,Medium,VAL_1,VAL_3,VAL_1,VAL_3,VAL_2,VAL_2,VAL_1,VAL_3,VAL_2,VAL_1,VAL_3,VAL_2,VAL_2,VAL_3,VAL_2,VAL_3,VAL_3,VAL_3,VAL_1,VAL_1,VAL_3,VAL_1,VAL_1,VAL_2,VAL_1,VAL_2,VAL_3,VAL_2,VAL_1,VAL_2,VAL_1,VAL_3,VAL_1,VAL_3,VAL_3,VAL_3,VAL_1,VAL_2,VAL_2,VAL_1,VAL_3,VAL_1,PASS,,,Normal
SN000806,2026-05-11 14:57:01,MC_004,LOT_2002,10,2026-05-11 15:08:01,High,Medium,VAL_2,VAL_1,VAL_2,VAL_1,VAL_1,VAL_1,VAL_2,VAL_3,VAL_2,VAL_3,VAL_3,VAL_3,VAL_3,VAL_1,VAL_1,VAL_2,VAL_3,VAL_2,VAL_1,VAL_1,VAL_3,VAL_3,VAL_1,VAL_1,VAL_1,VAL_1,VAL_3,VAL_2,VAL_3,VAL_1,VAL_2,VAL_1,VAL_2,VAL_2,VAL_1,VAL_2,VAL_2,VAL_1,VAL_3,VAL_2,VAL_3,VAL_2,PASS,,,Locked
SN000807,2026-05-11 14:59:19,MC_BAD_007,LOT_2005,20,2026-05-11 15:04:19,Normal,Medium,VAL_2,VAL_1,VAL_3,VAL_1,VAL_3,VAL_2,VAL_2,VAL_1,VAL_3,VAL_1,VAL_3,VAL_3,VAL_3,VAL_2,VAL_2,VAL_2,VAL_2,VAL_1,VAL_2,VAL_3,VAL_2,VAL_1,VAL_3,VAL_3,VAL_1,VAL_3,VAL_1,VAL_2,VAL_1,VAL_1,VAL_2,VAL_3,VAL_2,VAL_2,VAL_2,VAL_2,VAL_3,VAL_1,VAL_3,VAL_2,VAL_3,VAL_1,PASS,,,Standby
SN000808,2026-05-11 15:01:37,MC_005,LOT_2002,20,2026-05-11 15:13:37,Normal,Medium,VAL_1,VAL_2,VAL_1,VAL_3,VAL_1,VAL_2,VAL_2,VAL_1,VAL_1,VAL_2,VAL_2,VAL_2,VAL_1,VAL_1,VAL_1,VAL_3,VAL_2,VAL_2,VAL_2,VAL_2,VAL_3,VAL_3,VAL_3,VAL_1,VAL_2,VAL_2,VAL_1,VAL_1,VAL_2,VAL_1,VAL_3,VAL_2,VAL_3,VAL_1,VAL_3,VAL_3,VAL_2,VAL_2,VAL_1,VAL_1,VAL_3,VAL_3,PASS,,,Locked
SN000809,2026-05-11 15:03:56,MC_003,LOT_2002,20,2026-05-11 15:15:56,Normal,Medium,VAL_3,VAL_1,VAL_1,VAL_3,VAL_2,VAL_1,VAL_1,VAL_1,VAL_3,VAL_3,VAL_2,VAL_1,VAL_2,VAL_3,VAL_2,VAL_1,VAL_2,VAL_2,VAL_1,VAL_3,VAL_2,VAL_3,VAL_3,VAL_3,VAL_3,VAL_1,VAL_1,VAL_3,VAL_3,VAL_3,VAL_2,VAL_2,VAL_1,VAL_3,VAL_1,VAL_1,VAL_1,VAL_2,VAL_1,VAL_3,VAL_3,VAL_3,PASS,,,Locked
SN000810,2026-05-11 15:06:14,MC_005,LOT_2003,20,2026-05-11 15:16:14,Normal,Medium,VAL_3,VAL_2,VAL_1,VAL_3,VAL_2,VAL_3,VAL_1,VAL_1,VAL_1,VAL_2,VAL_3,VAL_1,VAL_2,VAL_2,VAL_2,VAL_1,VAL_3,VAL_1,VAL_3,VAL_1,VAL_3,VAL_1,VAL_1,VAL_1,VAL_2,VAL_1,VAL_2,VAL_2,VAL_2,VAL_2,VAL_2,VAL_2,VAL_1,VAL_3,VAL_3,VAL_1,VAL_1,VAL_3,VAL_2,VAL_2,VAL_3,VAL_1,PASS,,,Normal
SN000811,2026-05-11 15:08:32,MC_001,LOT_2004,10,2026-05-11 15:22:32,Normal,Fast,VAL_2,VAL_1,VAL_1,VAL_3,VAL_3,VAL_1,VAL_3,VAL_2,VAL_1,VAL_2,VAL_3,VAL_2,VAL_1,VAL_1,VAL_1,VAL_3,VAL_3,VAL_1,VAL_3,VAL_3,VAL_2,VAL_2,VAL_1,VAL_3,VAL_3,VAL_1,VAL_2,VAL_1,VAL_2,VAL_1,VAL_3,VAL_3,VAL_1,VAL_3,VAL_2,VAL_3,VAL_1,VAL_2,VAL_2,VAL_1,VAL_2,VAL_1,PASS,,,Normal
SN000812,2026-05-11 15:10:50,MC_002,LOT_2001,20,2026-05-11 15:18:50,Normal,Medium,VAL_1,VAL_2,VAL_1,VAL_3,VAL_3,VAL_1,VAL_3,VAL_1,VAL_3,VAL_3,VAL_2,VAL_1,VAL_3,VAL_1,VAL_1,VAL_1,VAL_3,VAL_3,VAL_1,VAL_2,VAL_3,VAL_1,VAL_2,VAL_2,VAL_1,VAL_3,VAL_2,VAL_2,VAL_2,VAL_1,VAL_1,VAL_2,VAL_1,VAL_3,VAL_3,VAL_3,VAL_2,VAL_2,VAL_1,VAL_2,VAL_3,VAL_2,PASS,,,Standby
SN000813,2026-05-11 15:13:09,MC_001,LOT_2001,30,2026-05-11 15:25:09,Normal,Medium,VAL_3,VAL_3,VAL_3,VAL_1,VAL_2,VAL_1,VAL_1,VAL_2,VAL_2,VAL_2,VAL_1,VAL_1,VAL_1,VAL_1,VAL_1,VAL_3,VAL_2,VAL_3,VAL_3,VAL_1,VAL_3,VAL_2,VAL_3,VAL_3,VAL_1,VAL_1,VAL_3,VAL_2,VAL_3,VAL_2,VAL_1,VAL_1,VAL_3,VAL_2,VAL_3,VAL_2,VAL_2,VAL_2,VAL_1,VAL_1,VAL_3,VAL_1,PASS,,,Standby
SN000814,2026-05-11 15:15:27,MC_002,LOT_2003,20,2026-05-11 15:28:27,Normal,Medium,VAL_3,VAL_1,VAL_2,VAL_2,VAL_3,VAL_3,VAL_2,VAL_3,VAL_2,VAL_2,VAL_3,VAL_1,VAL_3,VAL_3,VAL_3,VAL_1,VAL_1,VAL_2,VAL_3,VAL_3,VAL_1,VAL_1,VAL_1,VAL_1,VAL_3,VAL_3,VAL_1,VAL_2,VAL_1,VAL_1,VAL_1,VAL_2,VAL_1,VAL_1,VAL_1,VAL_2,VAL_2,VAL_1,VAL_1,VAL_3,VAL_2,VAL_1,PASS,,,Normal
SN000815,2026-05-11 15:17:45,MC_003,LOT_2002,10,2026-05-11 15:22:45,Normal,Medium,VAL_1,VAL_3,VAL_3,VAL_3,VAL_1,VAL_2,VAL_1,VAL_1,VAL_1,VAL_3,VAL_3,VAL_1,VAL_3,VAL_3,VAL_1,VAL_3,VAL_2,VAL_3,VAL_1,VAL_3,VAL_3,VAL_2,VAL_1,VAL_2,VAL_1,VAL_1,VAL_3,VAL_3,VAL_3,VAL_3,VAL_3,VAL_1,VAL_3,VAL_3,VAL_2,VAL_1,VAL_3,VAL_2,VAL_3,VAL_1,VAL_2,VAL_3,PASS,,,Normal
SN000816,2026-05-11 15:20:03,MC_004,LOT_2002,20,2026-05-11 15:32:03,Normal,Medium,VAL_3,VAL_2,VAL_2,VAL_2,VAL_1,VAL_1,VAL_1,VAL_1,VAL_2,VAL_1,VAL_1,VAL_2,VAL_3,VAL_3,VAL_1,VAL_1,VAL_2,VAL_1,VAL_2,VAL_1,VAL_2,VAL_1,VAL_2,VAL_3,VAL_2,VAL_1,VAL_3,VAL_3,VAL_3,VAL_3,VAL_2,VAL_1,VAL_1,VAL_1,VAL_2,VAL_1,VAL_3,VAL_2,VAL_1,VAL_1,VAL_3,VAL_1,PASS,,,Normal
